problem,text
topScores," takes a list of list, which contains a score and a name, and returns the name of the top score."
topScores, Input of a nested list. Inner lists contain a string 'Name' and an integer. Outer is a list of all inner lists. Outputs and prints a list of each 'Name'. The order of the list is based on the number associated with each name in the inner list.
topScores," ""produce all the strings within an array that contains 100, 99, 97, 95, 92 in order"""
topScores, Return the strings from highest corresponding number to lowest.
topScores," Iterates through a list of lists, with each list housing the age and name of a person respectively. A new list will be created sorting the people by their age, in reverse order. The returned list will only use only their names"
sort_physicists, Sort the lists in scientists from least to greatest by the number in the list.
sort_physicists," If position in scientists has ""Peiris"", add 'Peiris' to new list. If position in scientists has ""Ghez"", add 'Ghez' to new list. If position in scientists has ""Strickland"", add 'Strickland' to new list."
print_time," Return the day of the week if the hour is not between 0 and 8. Else, return sleeping."
changeSection," flip each letter in s, return the combination of each letter."
changeSection," run a for loop through s, putting each letter into a list,"
planets_mass," For this function given a dictionary, if the number of items in the dictionary is even calculate the difference between the mass of the first three planets, and if it is odd return the sum of the first two planets"
fib, the code randomly assigns true or false to an number input
order_strings, Reverse the order of every other item in a string starting at 0
order_strings, Return elements of lst in randomized order.
order_strings," If the item in lst contains 'b', move the item to the first item of lst; if the item in lst contains 'a', move the item to the second position of lst. Return lst."
order_strings, takes in a list.
order_strings, scramble the list
order_strings, Takes a list. Moves the first item in the list to the end of the list. Returns the list
order_strings, change the order of the element of the list
order_strings, This function imports random and randomly changes the order of the given list.
order_strings, maybe this is the impossible one. I don't know
order_strings, Function takes a list as an input. Function would return a list with values in a different order.
order_strings, I don't understand the pattern.
sortBySuccessRate, takes a list of dictionaries as an input. returns a list of the dictionaries in reverse alphabetical order for the key 'nominee' in each dictionary
sortBySuccessRate," def sortBySuccessRate(nominations): takes input
[{'nominee': 'Jones', 'wins': 28, 'noms': 80},{'nominee': 'Beyoncé', 'wins': 28, 'noms': 79}, {'nominee': 'Krauss', 'wins': 27, 'noms': 42}] and prints output in order of least amount of 'wins', if the same prints based on least amount of 'noms',"
reverseWords," Write a code that takes one parameter. The parameter is words, which represents a list of strings that has words. The code should return a list of string that reverse each string of words in the parameter."
reverseWords, Reverse the characters in each string in the list. return the list in reverse order
reverseWords, In this function your goal is given a list of strings to reverse the strings and reverse the order of the strings in the way that they appeared in the provided list.
reverseWords," Takes a list of strings, which we will call words. Make a new list of strings, which we will call reverse. For each string in words, add a string to reverse that contains the same characters in backwards order. Output is reverse."
reverseWords," starting from the last index of the list word, return a new list with the word from the previous list spelled backwards"
reverseWords," Reverses the order of the words in the list ""words"". For each word in the list, 
reverses the order of the letters. Returns a list."
reverseWords," The function takes in a list of strings, it will switch the position of the first and last string. Then it will make all the character within the strings reverse."
reverseWords," ""reverse the order of the items in words, and reverse each string"""
reverseWords," taken words, loop through and reverse its order."
reverseWords," Takes a list of strings, reverses the order of the list, and then individually reverses the order of the characters in each string. Then, returns this modified list."
readingIceCream, Counts the number of letters in the word before the first  and multiplies that value by the number after t and returns that product.
readingIceCream," iterates through the values in a list, splices  in the values and takes the 3rd value and appends it to a new list. from the new list, every value after the 1st is returned"
laugh, return the number of words in a string
laugh," the code increases the number of the letters in ""ha,"" depending on the input in an increasing factorial way"
times_with," def times_with(meetings): takes the input [ [30, ['Alice', 'Bob', 'Carol']] ] and produces and output of val[1,2,3]:val1"
times_with," The function takes in some number of lists that each consist of an integer and another list of strings ""names"". For each list, the function takes each string in ""names"" and adds a colon followed by the integer in that list."
sortedBooks, Returns the information of the specified writer.
sortedBooks," Returns the list with the a Sort the elements of the array by the year value in its dictionary, from lowest to highest. Then removes the last element in the array and returns the rest"
exp," For this function, exp(1st, val) the goal is to multiply each number within the provided list (1st) by the number given in val and then return a list of the products of the original list."
exp, The function multiplies each item in the list by the number outside it.
exp," ""for all the value in 1st, multiply them by val"""
exp," For each element in lst, this function multiplies it by val and returns the resulting list"
exp, A function that takes in lists of numbers and only outputs the innermost list.
partialWordle, Iterates through a guess list 0 1 2 3...1 letter in the right place 4... 2 letters in the right place 6 ... 3 letters in the right place
partialWordle," The function takes in a list, guessList, and string, hiddenWord. It will then go through every string within the list and compare it to the hiddenWord. For each letter that matches you add the integer associated with its place in the alphabet to list of numbers, then output the list."
partialWordle, Two inputs: list of 4 character string (These are the guess words) and a four character long string (the hidden word). Function checks if each of the characters in each of the words in the inputted string matches with the characters in each corresponding position of the hidden word. Returns a list of numbers that signify the number of characters that are co
partialWordle," if input word is part of the english language, output a number"
